source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/examples/CDB1GlobalGrid.xml,http://schemas.opengis.net/tms/2.0/xml/examples/CDB1GlobalGrid.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/CanadianNAD83_LCC.json,http://schemas.opengis.net/tms/1.0/json/examples/CanadianNAD83_LCC.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/EuropeanETRS89_LAEAQuad.json,http://schemas.opengis.net/tms/1.0/json/examples/EuropeanETRS89_LAEAQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/GNOSISGlobalGrid.json,http://schemas.opengis.net/tms/1.0/json/examples/GNOSISGlobalGrid.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UPSAntarcticWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UPSAntarcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UPSArcticWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UPSArcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UTM31WGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UTM31WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WebMercatorQuad.json,http://schemas.opengis.net/tms/1.0/json/examples/WebMercatorQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WorldCRS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/WorldCRS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WorldMercatorWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/WorldMercatorWGS84Quad.json
