uri,related,prefLabel,definition
rel/data,http://www.opengis.net/def/rel/ogc/1.0/data,data,For shortening of the 'data' link relation type
rel/data-meta,http://www.opengis.net/def/rel/ogc/1.0/data-meta,data-meta,For shortening of the 'data-meta' link relation type
rel/exceptions,http://www.opengis.net/def/rel/ogc/1.0/exceptions,exceptions,For shortening of the 'exceptions' link relation type
rel/execute,http://www.opengis.net/def/rel/ogc/1.0/execute,execute,For shortening of the 'execute' link relation type
rel/items,http://www.opengis.net/def/rel/ogc/1.0/items,items,For shortening of the 'items' link relation type
rel/job-list,http://www.opengis.net/def/rel/ogc/1.0/job-list,job-list,For shortening of the 'job-list' link relation type
rel/processes,http://www.opengis.net/def/rel/ogc/1.0/processes,processes,For shortening of the 'processes' link relation type
rel/results,http://www.opengis.net/def/rel/ogc/1.0/results,results,For shortening of the 'results' link relation type
rel/conformance,http://www.opengis.net/def/rel/ogc/1.0/conformance,conformance,For shortening of the 'conformance' link relation type
crs/EPSG,http://www.opengis.net/def/crs/EPSG/0/,EPSG,For shortening of URIs of the latest versions of EPSG CRS definitions
crs/OGC,http://www.opengis.net/def/crs/OGC/0/,OGC,For shortening of URIs of the latest versions of OGC CRS definitions
