source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/CanadianNAD83_LCC.json,http://schemas.opengis.net/tms/1.0/json/examples/CanadianNAD83_LCC.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/EuropeanETRS89_LAEAQuad.json,http://schemas.opengis.net/tms/1.0/json/examples/EuropeanETRS89_LAEAQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/GNOSISGlobalGrid.json,http://schemas.opengis.net/tms/1.0/json/examples/GNOSISGlobalGrid.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UPSAntarcticWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UPSAntarcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UPSArcticWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UPSArcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/UTM31WGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/UTM31WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WebMercatorQuad.json,http://schemas.opengis.net/tms/1.0/json/examples/WebMercatorQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WorldCRS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/WorldCRS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/1.0/json/examples/WorldMercatorWGS84Quad.json,http://schemas.opengis.net/tms/1.0/json/examples/WorldMercatorWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/CanadianNAD83_LCC.json,http://schemas.opengis.net/tms/2.0/json/CanadianNAD83_LCC.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/CDB1GlobalGrid.json,http://schemas.opengis.net/tms/2.0/json/CDB1GlobalGrid.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/EuropeanETRS89_LAEAQuad.json,http://schemas.opengis.net/tms/2.0/json/EuropeanETRS89_LAEAQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/GNOSISGlobalGrid.json,http://schemas.opengis.net/tms/2.0/json/GNOSISGlobalGrid.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UPSAntarcticWGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UPSAntarcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UPSArcticWGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UPSArcticWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM01WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM01WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM02WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM02WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM03WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM03WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM04WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM04WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM05WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM05WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM06WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM06WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM07WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM07WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM08WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM08WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM09WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM09WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM10WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM10WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM11WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM11WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM12WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM12WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM13WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM13WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM14WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM14WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM15WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM15WGS84Quad.json
