Label,URI proposed by SWG,Revised URI proposed to meet OGC-NA policy,locator for the resource in HTML (text/html),locator for the resource in TTL (text/turtle),locator for the resource in JSON-LD (application/ld+json)
GeoSPARQL 1.0 Profile,http://www.opengis.net/def/geosparql/1.0,http://www.opengis.net/def/geosparql/ogc/1.0,https://opengeospatial.github.io/ogc-geosparql/geosparql10/profile.html,https://opengeospatial.github.io/ogc-geosparql/geosparql10/profile.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql10/profile.json
GeoSPARQL 1.0 Functions/Rules Vocabulary,http://www.opengis.net/def/geosparql/funcsrules/1.0,http://www.opengis.net/def/geosparql/ogc/1.0/funcsrules,https://opengeospatial.github.io/ogc-geosparql/geosparql10/funcsrules.html,https://opengeospatial.github.io/ogc-geosparql/geosparql10/funcsrules.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql10/funcsrules.json
GeoSPARQL 1.0 Service Description Extensions,http://www.opengis.net/def/geosparql/servicedescextensions/1.0,http://www.opengis.net/def/geosparql/ogc/1.0/servicedescextensions,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_extensions.html,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_extensions.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_extensions.json
GeoSPARQL 1.0 Service Description Function Descriptions,http://www.opengis.net/def/geosparql/servicedescallfunctions/1.0,http://www.opengis.net/def/geosparql/ogc/1.0/servicedescallfunctions,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_all_functions.html,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_all_functions.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_all_functions.json
GeoSPARQL 1.0 Service Description Feature Descriptions,http://www.opengis.net/def/geosparql/servicedescconformanceclasses/1.0,http://www.opengis.net/def/geosparql/ogc/1.0/servicedescconformanceclasses,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_conformanceclasses.html,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_conformanceclasses.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql10/servicedescription_conformanceclasses.json
GeoSPARQL 1.1 Profile,http://www.opengis.net/def/geosparql/1.1,http://www.opengis.net/def/geosparql/ogc/1.1,https://opengeospatial.github.io/ogc-geosparql/geosparql11/profile.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/profile.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/profile.json
GeoSPARQL 1.1 Requirements and Conformance Classes. Vocabulary,http://www.opengis.net/def/geosparql/reqs,http://www.opengis.net/def/geosparql/ogc/1.1/reqs,https://opengeospatial.github.io/ogc-geosparql/geosparql11/reqs.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/reqs.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/reqs.json
GeoSPARQL 1.1 Functions/Rules Vocabulary,http://www.opengis.net/def/geosparql/funcsrules,http://www.opengis.net/def/geosparql/ogc/1.1/funcsrules,https://opengeospatial.github.io/ogc-geosparql/geosparql11/funcsrules.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/funcsrules.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/funcsrules.json
GeoSPARQL 1.1 Service Description Extensions,http://www.opengis.net/def/geosparql/servicedescextensions,http://www.opengis.net/def/geosparql/ogc/1.1/servicedescextensions,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_extensions.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_extensions.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_extensions.json
GeoSPARQL 1.1 Service Description Function Descriptions,http://www.opengis.net/def/geosparql/servicedescallfunctions/1.1,http://www.opengis.net/def/geosparql/ogc/1.1/servicedescallfunctions,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_all_functions.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_all_functions.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_all_functions.json
GeoSPARQL 1.1 Service Description Feature Descriptions,http://www.opengis.net/def/geosparql/servicedescconformanceclasses/1.1,http://www.opengis.net/def/geosparql/ogc/1.1/servicedescconformanceclasses,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_conformanceclasses.html,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_conformanceclasses.ttl,https://opengeospatial.github.io/ogc-geosparql/geosparql11/servicedescription_conformanceclasses.json 
