uri,preLabel,Definition
https://www.opengis.net/def/profile/ogc/0/rfc7946,rfc7946,return standard GeoJSON without using any extension
https://www.opengis.net/def/profile/ogc/0/jsonfg,jsonfg,return JSON-FG representation
https://www.opengis.net/def/profile/ogc/0/jsonfg-plus,jsonfg-plus,return JSON-FG representation with GeoJSON compatibility
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs,jsonfg-dggs,return DGGS-JSON-FG representation; using dggsPlace to encode geometry points quantized to sub-zone; represented as local indices from 1 to the number of sub-zones corresponding to the DGGRS deterministic sub-zone order; with a special value of 0 representing an artificial node
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-plus,jsonfg-dggs-plus,return DGGS-JSON-FG representation; with GeoJSON compatibility geometry
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-zoneids,jsonfg-dggs-zoneids,return DGGS-JSON-FG representation; using dggsPlace to encode geometry points as textual global zone identifiers; with a special value of null representing an artificial node
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-zoneids-plus,jsonfg-dggs-zoneids-plus,return DGGS-JSON-FG representation; encoding geometry points as global zone IDs; with GeoJSON compatibility geometry
https://www.opengis.net/def/profile/ogc/0/netcdf3,netcdf3,return NetCDF classic and 64-bit offset format (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/netcdf3-dggs,netcdf3-dggs,return NetCDF classic and 64-bit offset format where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/netcdf3-dggs-zoneids,netcdf3-dggs-zoneids,return NetCDF classic and 64-bit offset format where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/netcdf4,netcdf4,return HFG5-based NetCDF 4 format (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/netcdf4-dggs,netcdf4-dggs,return HDF5-based NetCDF 4 format where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/netcdf4-dggs-zoneids,netcdf4-dggs-zoneids,return HDF5-based NetCDF 4 format where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/zarr2,zarr2,return zipped Zarr 2.0 (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/zarr2-dggs,zarr2-dggs,return zipped Zarr 2.0 where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/zarr2-dggs-zoneids,zarr2-dggs-zoneids,return zipped Zarr 2.0 where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/covjson,covjson,return CoverageJSON (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/covjson-dggs,covjson-dggs,return CoverageJSON where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/covjson-dggs-zoneids,covjson-dggs-zoneids,return CoverageJSON where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
