code,name,URI,in_rainbow,in_speccatalog
IS,Implementation Standard,http://www.opengis.net/def/doc-type/is,Yes,Yes
PER,Public Engineering Report,http://www.opengis.net/def/doc-type/per,Yes,Yes
AS,Abstract Specification,http://www.opengis.net/def/doc-type/as,Yes,Yes
DP,Discussion Paper,http://www.opengis.net/def/doc-type/dp,Yes,Yes
POL,Policy Document,http://www.opengis.net/def/doc-type/pol,Yes,Yes
Notes,Release Notes,http://www.opengis.net/def/doc-type/notes,Yes,Yes
CS,Community Standard,,No,Yes
ISC,Implementation Standard Corrigendum,http://www.opengis.net/def/doc-type/isc,Yes,Yes
UG,User Guide,http://www.opengis.net/def/doc-type/ug,Yes,Yes
D-ISC,Deprecated Implementation Standard Corrigendum,,No,Yes
D-PER,Deprecated Public Engineering Report,,No,Yes
IS-Draft,Draft Implementation Standard,,No,Yes
BP,Best Practices Document,http://www.opengis.net/def/doc-type/bp,,Yes
POL-NTS,Name Type Specification,http://www.opengis.net/def/doc-type/pol-nts,,Yes
D-AS,Draft Abstract Specification,,No,Yes
TechPaper,Technical Paper,,,Yes
CP,Community Practice,,,Yes
D-DP,Deprecated Discussion Paper,,No,Yes
D-IS,Deprecated Implementation Standard,,No,Yes
TS,Test Suite,http://www.opengis.net/def/doc-type/ts,,Yes
Profile,Approved Standard Profile,,,Yes
ISx,Implementation Standard Extension,,No,Yes
D-BP,Deprecated Best Practices Document,,No,Yes
Primer,Primer,,No,Yes
SAP,Implementation Standard Application Profile,,No,Yes
ORM,OGC Reference Model,http://www.opengis.net/def/doc-type/orm,,Yes
D-RFC,Deprecated Request for Comment,,No,Yes
D-SAP,Deprecated Implementation Standard Application Profile,,No,Yes
D-Profile,Deprecated Standard Profile,,No,Yes
CR,Change Request,http://www.opengis.net/def/doc-type/cr,,Yes
Retired,Retired document,,No,Yes
CAN,,,No,Yes
PC,Profile Corrigendum - Approved,http://www.opengis.net/def/doc-type/pc,,Yes
DP-Draft,Draft Discussion Paper,,No,Yes
D-RP,,,No,Yes
D-ATB,,,No,Yes
RFC,Request for Comment,http://www.opengis.net/def/doc-type/rfc,,Yes
D-ORM,Deprecated OGC Reference Model,,No,Yes
IPR,,,No,Yes
Charter,Charter Document,http://www.opengis.net/def/doc-type/charter ,Yes,No
ballot,Ballot Document,http://www.opengis.net/def/doc-type/ballot,Yes,No
appschema,approved application schema,http://www.opengis.net/def/doc-type/appschema,Yes,No
