the_label,the_urn
dataType,urn:ogc:def:geoxacml:3.0
geometry,urn:ogc:def:geoxacml:3.0:data-type:geometry
CRSError,urn:ogc:def:geoxacml:3.0:status:crs-error
GeometryError,urn:ogc:def:geoxacml:3.0:status:geometry-error
CollectionError,urn:ogc:def:geoxacml:3.0:status:geometry-collection-error
PrecisionError,urn:ogc:def:geoxacml:3.0:status:precision-error
SubjectLocation,urn:ogc:def:geoxacml:3.0:identifier:subject-location
ResourceLocation,urn:ogc:def:geoxacml:3.0:identifier:resource-location
DeviceLocation,urn:ogc:def:geoxacml:3.0:identifier:device-location
ResourceExtend,urn:ogc:def:geoxacml:3.0:identifier:resource-extend
ResourceBBOX,urn:ogc:def:geoxacml:3.0:identifier:resource-aoi
DIMENSION,urn:ogc:def:geoxacml:3.0:function:geometry-dimension
GEOMETRY_TYPE,urn:ogc:def:geoxacml:3.0:function:geometry-type
SRID,urn:ogc:def:geoxacml:3.0:function:geometry-srid
IS_EMPTY,urn:ogc:def:geoxacml:3.0:function:geometry-is-empty
IS_SIMPLE,urn:ogc:def:geoxacml:3.0:function:geometry-is-simple
SRID_EQUALS,urn:ogc:def:geoxacml:3.0:function:geometry-srid-equals
ENSURE_SRID,urn:ogc:def:geoxacml:3.0:function:geometry-ensure-srid
ENSURE_PRECISION,urn:ogc:def:geoxacml:3.0:function:geometry-ensure-precision
LENGTH,urn:ogc:def:geoxacml:3.0:function:geometry-length
AREA,urn:ogc:def:geoxacml:3.0:function:geometry-area
DISTANCE,urn:ogc:def:geoxacml:3.0:function:geometry-distance
HAS_DISTANCE,urn:ogc:def:geoxacml:3.0:function:geometry-distance-equals
IS_WITHIN_DISTANCE,urn:ogc:def:geoxacml:3.0:function:geometry-is-within-distance
EQUAL,urn:ogc:def:geoxacml:3.0:function:geometry-equal
EQUALS,urn:ogc:def:geoxacml:3.0:function:geometry-equals
DISJOINT,urn:ogc:def:geoxacml:3.0:function:geometry-disjoint
INTERSECTS,urn:ogc:def:geoxacml:3.0:function:geometry-intersects
TOUCHES,urn:ogc:def:geoxacml:3.0:function:geometry-touches
CROSSES,urn:ogc:def:geoxacml:3.0:function:geometry-crosses
WITHIN,urn:ogc:def:geoxacml:3.0:function:geometry-within
CONTAINS,urn:ogc:def:geoxacml:3.0:function:geometry-contains
OVERLAPS,urn:ogc:def:geoxacml:3.0:function:geometry-overlaps
RELATE,urn:ogc:def:geoxacml:3.0:function:geometry-relate
GEOMETRY_ONE_AND_ONLY,urn:ogc:def:geoxacml:3.0:function:geometry-one-and-only
GEOMETRY_BAG_SIZE,urn:ogc:def:geoxacml:3.0:function:geometry-bag-size
GEOMETRY_IS_IN,urn:ogc:def:geoxacml:3.0:function:geometry-is-in
GEOMETRY_BAG,urn:ogc:def:geoxacml:3.0:function:geometry-bag
GeometryBagToCollection,urn:ogc:def:geoxacml:3.0:function:geometry-bag-to-collection
GeometryBagFromCollection,urn:ogc:def:geoxacml:3.0:function:geometry-bag-from-collection
GeometryBagSRID,urn:ogc:def:geoxacml:3.0:function:geometry-bag-srid
GeometryBagSRIDEquals,urn:ogc:def:geoxacml:3.0:function:geometry-bag-srid-equals
BAG_AT_LEAST_ONE_MEMBER_OF,urn:ogc:def:geoxacml:3.0:function:geometry-at-least-one-member-of
BAG_INTERSECTION,urn:ogc:def:geoxacml:3.0:function:geometry-intersection
BAG_UNION,urn:ogc:def:geoxacml:3.0:function:geometry-union
BAG_SUBSET,urn:ogc:def:geoxacml:3.0:function:geometry-subset
SET_EQUALS,urn:ogc:def:geoxacml:3.0:function:geometry-set-equals
ENVELOPE,urn:ogc:def:geoxacml:3.0:function:geometry-envelope
BOUNDARY,urn:ogc:def:geoxacml:3.0:function:geometry-boundary
BUFFER,urn:ogc:def:geoxacml:3.0:function:geometry-buffer
CONVEX_HULL,urn:ogc:def:geoxacml:3.0:function:geometry-convex-hull
INTERSECTION,urn:ogc:def:geoxacml:3.0:function:geometry-geometry-intersection
UNION,urn:ogc:def:geoxacml:3.0:function:geometry-geometry-union
DIFFERENCE,urn:ogc:def:geoxacml:3.0:function:geometry-difference
SYM_DIFFERNECE,urn:ogc:def:geoxacml:3.0:function:geometry-sym-difference
CENTROID,urn:ogc:def:geoxacml:3.0:function:geometry-centroid
