uri,skos:prefLabel,skos:definition,rdfs:seeAlso,policy:status
https://www.opengis.net/def/rel/iana/1.0/alternate,alternate, Refers to a substitute for this context.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/collection,collection, The target IRI points to a resource which represents the collection resource for the context IRI.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/describedby,describedby, Refers to a resource providing information about the link’s context.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/item,item, The target IRI points to a resource that is a member of the collection represented by the context IRI.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/next,next," Indicates that the link’s context is a part of a series, and that the next in the series is the link target.",https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/license,license, Refers to a license associated with this context.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/prev,prev," Indicates that the link’s context is a part of a series, and that the previous in the series is the link target. This relation is only used in examples.",https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/self,self, Conveys an identifier for the link’s context.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/service-desc,service-desc, Identifies service description for the context that is primarily intended for consumption by machines. API definitions are considered service descriptions.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/iana/1.0/service-doc,service-doc, Identifies service documentation for the context that is primarily intended for human consumption.,https://www.iana.org/assignments/link-relations/link-relations.xml,valid
https://www.opengis.net/def/rel/ogc/1.0/items,items, Refers to a resource that is comprised of members of the collection represented by the link’s context.,http://docs.opengeospatial.org/is/17-069r3/17-069r3.html#_link_relations,proposed
https://www.opengis.net/def/rel/ogc/1.0/conformance,conformance, Refers to a resource that identifies the specifications that the link’s context conforms to.,http://docs.opengeospatial.org/is/17-069r3/17-069r3.html#_link_relations,proposed
https://www.opengis.net/def/rel/ogc/1.0/data,data, Indicates that the link’s context is a distribution of a dataset that is an API and refers to the root resource of the dataset in the API.,http://docs.opengeospatial.org/is/17-069r3/17-069r3.html#_link_relations,proposed
