target,source
https://docs.ogc.org/is/23-001/23-001.html,http://www.opengis.net/doc/IS/ogcapi-connectedsystems-1/1.0
https://docs.ogc.org/is/23-001/23-001.html#_req_api-common,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/api-common
https://docs.ogc.org/is/23-001/23-001.html#_req_api-common_resource-ids,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/api-common/resource-ids
https://docs.ogc.org/is/23-001/23-001.html#_req_api-common_resource-uids,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/api-common/resource-uids
https://docs.ogc.org/is/23-001/23-001.html#_req_api-common_datetime,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/api-common/datetime
https://docs.ogc.org/is/23-001/23-001.html#_req_system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system
https://docs.ogc.org/is/23-001/23-001.html#_req_system_location-time,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system/location-time
https://docs.ogc.org/is/23-001/23-001.html#_req_system_canonical-url,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system/canonical-url
https://docs.ogc.org/is/23-001/23-001.html#_req_system_resources-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system/resources-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_system_canonical-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system/canonical-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_system_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/system/collections
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem_collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem/collection
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem_recursive-param,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem/recursive-param
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem_recursive-search-systems,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem/recursive-search-systems
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem_recursive-search-subsystems,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem/recursive-search-subsystems
https://docs.ogc.org/is/23-001/23-001.html#_req_subsystem_recursive-assoc,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subsystem/recursive-assoc
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment_canonical-url,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment/canonical-url
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment_resources-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment/resources-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment_canonical-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment/canonical-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment_ref-from-system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment/ref-from-system
https://docs.ogc.org/is/23-001/23-001.html#_req_deployment_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/deployment/collections
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment_collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment/collection
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment_recursive-param,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment/recursive-param
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment_recursive-search-deployments,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment/recursive-search-deployments
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment_recursive-search-subdeployments,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment/recursive-search-subdeployments
https://docs.ogc.org/is/23-001/23-001.html#_req_subdeployment_recursive-assoc,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/subdeployment/recursive-assoc
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure_location,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure/location
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure_canonical-url,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure/canonical-url
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure_resources-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure/resources-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure_canonical-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure/canonical-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_procedure_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/procedure/collections
https://docs.ogc.org/is/23-001/23-001.html#_req_sf,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_canonical-url,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/canonical-url
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_resources-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/resources-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_canonical-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/canonical-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_ref-from-system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/ref-from-system
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/collections
